case_id,t1_mean,t1_std,t1_min,t1_max,t1_median,t1_skew,t1_kurtosis,t1_p10,t1_p25,t1_p75,t1_p90,t1_contrast,t1_energy,t1_homogeneity,t1_correlation,t1_volume,t1ce_mean,t1ce_std,t1ce_min,t1ce_max,t1ce_median,t1ce_skew,t1ce_kurtosis,t1ce_p10,t1ce_p25,t1ce_p75,t1ce_p90,t1ce_contrast,t1ce_energy,t1ce_homogeneity,t1ce_correlation,t1ce_volume,t2_mean,t2_std,t2_min,t2_max,t2_median,t2_skew,t2_kurtosis,t2_p10,t2_p25,t2_p75,t2_p90,t2_contrast,t2_energy,t2_homogeneity,t2_correlation,t2_volume,flair_mean,flair_std,flair_min,flair_max,flair_median,flair_skew,flair_kurtosis,flair_p10,flair_p25,flair_p75,flair_p90,flair_contrast,flair_energy,flair_homogeneity,flair_correlation,flair_volume
BraTS20_Training_001,1.9082304239273071,0.4684302806854248,0.31232425570487976,3.512869358062744,1.8819695711135864,0.17312587041182528,-0.23460678579342042,1.3383363485336304,1.5680404901504517,2.2265257835388184,2.5327980518341064,3.534517739813964,0.012612160295248032,0.5933424574383325,0.9143144838425545,15443.0,2.144818067550659,0.9266360402107239,-0.04318659380078316,7.7816643714904785,1.9517631530761719,1.8806164532324348,4.310595683448855,1.3126044273376465,1.6095871925354004,2.339132070541382,3.2817294597625732,3.180594213075892,0.031489111483097076,0.618747664596288,0.882718837338458,15443.0,3.5113513469696045,0.9129728078842163,0.4201279580593109,7.048061370849609,3.5444061756134033,-0.005561794210152155,-0.6645385760292792,2.27237868309021,2.807969331741333,4.191578388214111,4.70485258102417,3.2514742226667295,0.012841114774346352,0.5931989988797961,0.9111803862198382,15443.0,3.9383738040924072,0.8468911647796631,0.16594327986240387,7.237479209899902,3.9794681072235107,-0.089902594915638,-0.5757075966256124,2.778357744216919,3.2888295650482178,4.534981727600098,5.075481414794922,3.441545843590575,0.013454397208988667,0.5649687326610668,0.8756513685468194,15443.0
BraTS20_Training_002,1.3848427534103394,0.36598774790763855,0.31907159090042114,2.7178051471710205,1.3844830989837646,0.09573474658297765,-0.11392141062282235,0.8548926115036011,1.1601859331130981,1.6150107383728027,1.8455384969711304,4.88425091596946,0.009298432618379593,0.5134366902092722,0.8913646141982873,9160.0,1.4406797885894775,0.5986019968986511,-0.07794401794672012,5.777559757232666,1.348690390586853,1.705714976273039,4.546952504133592,0.8043920993804932,1.1137827634811401,1.6294337511062622,2.0362250804901123,5.23684094825785,0.03521953150629997,0.6341339256783809,0.7408515551666742,9160.0,3.742920398712158,0.8921322226524353,-0.3067300617694855,6.581589698791504,3.7513043880462646,-0.09375950381731807,-0.508673564731525,2.523555040359497,3.1051204204559326,4.410411834716797,4.914435386657715,3.123121461460869,0.013477470725774765,0.5868181862983469,0.9036202627569759,9160.0,4.208878993988037,0.9703481197357178,0.5723707675933838,9.075489044189453,4.126953125,0.5448914878698954,0.42033359060666653,3.0205020904541016,3.464824914932251,4.8413543701171875,5.547043323516846,4.1856671762107,0.0168718583881855,0.5939211461454099,0.8336653692999417,9160.0
BraTS20_Training_003,2.6995797157287598,0.3877805471420288,1.1293346881866455,3.701460361480713,2.76680064201355,-1.0513141558566335,0.9800255217255454,2.121957778930664,2.549437999725342,2.9624271392822266,3.1145808696746826,5.91380932037282,0.011248724535107613,0.5041157684155428,0.8652379020638552,733.0,2.7349443435668945,0.5532339215278625,0.7086987495422363,6.601944446563721,2.6189682483673096,2.5428581550146183,8.623419878505006,2.313585042953491,2.4565303325653076,2.8203911781311035,3.1062817573547363,3.5703214250315796,0.05280570685863495,0.6306590051489367,0.7912756200861013,733.0,2.6488020420074463,0.4830971956253052,1.075252890586853,5.616227626800537,2.644385576248169,0.5223066053112854,0.5222167639618855,2.026242256164551,2.287764310836792,2.9296822547912598,3.2149791717529297,2.7155270713265054,0.022507255896925926,0.6359833742511574,0.8759858502569244,733.0,3.6162378787994385,0.3481401801109314,1.4604811668395996,4.634471893310547,3.6094436645507812,-0.057562281505274725,-0.34397337954298113,3.159869909286499,3.3666739463806152,3.879188060760498,4.077000617980957,3.8736831619607983,0.013697945512831211,0.5453268720317687,0.8332858518268558,733.0
BraTS20_Training_004,1.6638296842575073,0.3385990560054779,0.3991515338420868,3.0259463787078857,1.6132805347442627,0.5307162662626964,0.5205473007366686,1.292567253112793,1.4529238939285278,1.8499975204467773,2.132530689239502,4.795487717165088,0.0162030141800642,0.570102144632651,0.8507942530919511,10902.0,1.9157432317733765,0.872382402420044,0.33636191487312317,7.794918537139893,1.6252343654632568,2.114877156360413,4.886923865760984,1.2589974403381348,1.4069007635116577,2.0337295532226562,3.2310426235198975,4.291637265283498,0.05735378339886665,0.6672119667747316,0.8375073012394699,10902.0,3.74558687210083,1.0225661993026733,-0.17749817669391632,7.0349955558776855,3.8622360229492188,-0.26856596701123414,-0.7749698126724422,2.2943027019500732,2.921476125717163,4.563194751739502,5.042797565460205,3.4349485428519984,0.014893265441060066,0.6161349974414339,0.9113919639269608,10902.0,4.4989094734191895,1.1128543615341187,0.42561066150665283,8.474185943603516,4.538021087646484,-0.11529759124460964,-0.7517956816198401,2.998804807662964,3.633291006088257,5.395752429962158,5.936241149902344,3.2795690621987887,0.013391757383942604,0.5956574686653575,0.9111000738431502,10902.0
BraTS20_Training_005,2.4276139736175537,0.4345635175704956,0.5996342897415161,4.596170425415039,2.4326319694519043,0.05699246787826036,0.7820749796042739,1.9217966794967651,2.132140636444092,2.7030742168426514,2.9584920406341553,5.046899191587727,0.01684366539120674,0.5618723263845076,0.7791460866546039,3624.0,3.3691580295562744,1.2359392642974854,0.26116204261779785,9.485384941101074,3.1056361198425293,1.1172373430849114,1.6048011861190945,2.157478094100952,2.414835214614868,4.0741119384765625,4.987052631378169,8.581868694491277,0.0195781197398901,0.5315608156527416,0.752519717539748,3624.0,2.0443389415740967,0.7296298742294312,-0.39686980843544006,5.304513454437256,1.9417215585708618,0.15435995123158988,0.6914280635523999,1.2589211463928223,1.6173913478851318,2.4708917140960693,3.0683419704437256,8.207176036979945,0.01489629689604044,0.5267553171808652,0.7403151404900001,3624.0,4.017221927642822,1.384448766708374,0.22844545543193817,8.850908279418945,3.70365834236145,0.5063194365394269,-0.48670686811405295,2.507004737854004,2.9659953117370605,5.047844886779785,6.096965789794922,9.761861399718327,0.00927263405174017,0.4868501571444728,0.8028785068172524,3624.0
BraTS20_Training_006,2.3143506050109863,0.35501641035079956,0.8809292912483215,3.69330096244812,2.3312883377075195,-0.21080055931539704,-0.08045790243521278,1.8527436256408691,2.0662481784820557,2.5668797492980957,2.765660047531128,5.340159001238135,0.010265812277793884,0.501657249356727,0.826320083350121,19827.0,2.395282506942749,0.6449955701828003,0.6686909794807434,7.052375793457031,2.25457501411438,1.075254680103649,1.2089723218496742,1.7259469032287598,1.9534577131271362,2.6761391162872314,3.351979970932007,2.7739910357786357,0.028756828978657722,0.6195206492062049,0.8596064777282231,19827.0,2.7938387393951416,0.8205947279930115,-0.1470101773738861,6.251636505126953,2.7906272411346436,0.11504024481774895,-0.7920681462877823,1.710116982460022,2.0984253883361816,3.432180166244507,3.8711373805999756,2.814578858018649,0.014707917347550392,0.6092787717875944,0.9115170861194969,19827.0,4.4685468673706055,1.098422884941101,0.47694721817970276,7.62640905380249,4.53186559677124,-0.19575457073293234,-0.9671898635567775,2.9312398433685303,3.5848288536071777,5.425548553466797,5.879058837890625,5.356147054213579,0.0093864556401968,0.5251160048454933,0.8824040107277359,19827.0
BraTS20_Training_007,2.2335448265075684,0.45474937558174133,0.7649286985397339,3.8487133979797363,2.275716543197632,-0.3615787339712876,0.031180810938044257,1.5736445188522339,1.9824459552764893,2.524552345275879,2.7822749614715576,5.440446554217488,0.009493211284279823,0.497553699445194,0.8699293397521779,3398.0,2.4029042720794678,0.8635739684104919,0.29496657848358154,8.02439022064209,2.1957736015319824,1.7344744728911912,3.9356399384783165,1.6515592336654663,1.9197229146957397,2.6059062480926514,3.5365920066833496,4.235372493596515,0.033518556505441666,0.5999480601360804,0.8247847437745275,3398.0,3.1158413887023926,0.8577361702919006,0.8592448830604553,6.5184502601623535,2.9602670669555664,0.942614018677393,0.7850029373937746,2.1808555126190186,2.50278639793396,3.536353826522827,4.298821926116943,5.511427905221353,0.011233554221689701,0.5234763154642094,0.8755279847893197,3398.0,4.7186150550842285,1.1486566066741943,0.791051983833313,10.796019554138184,4.5741801261901855,0.7075499091940046,0.45650477535726974,3.4017233848571777,3.8081750869750977,5.465247631072998,6.231253147125244,4.495914107188582,0.015300387516617775,0.549132266214452,0.823609352064079,3398.0
BraTS20_Training_008,1.7851648330688477,0.3516105115413666,0.5957545042037964,2.893190860748291,1.7677969932556152,0.08478827799537593,-0.4838279870550082,1.3362987041473389,1.5287235975265503,2.041856527328491,2.257605791091919,6.927971230950789,0.008978639729321003,0.520714277539926,0.846446924333898,157.0,1.719481110572815,0.406241774559021,0.4823790490627289,8.527795791625977,1.6750675439834595,2.093743907331582,11.748026603326384,1.298429012298584,1.471055030822754,1.9052355289459229,2.140634536743164,1.175990425850614,0.08395686000585556,0.7371409268001133,0.7679994257010688,157.0,2.7308919429779053,0.5004339814186096,0.13625764846801758,5.785833835601807,2.7437543869018555,-0.027943180934341783,0.2558304346773239,2.069401741027832,2.399085283279419,3.0734379291534424,3.3581645488739014,3.232979493914172,0.024287762120366096,0.6148107750626375,0.7873956907880815,157.0,3.454953670501709,0.29523253440856934,1.2597123384475708,4.7884907722473145,3.4411392211914062,-0.009909873313890935,0.6938552365536896,3.097010374069214,3.2603256702423096,3.651116132736206,3.8377623558044434,2.840125559072476,0.02260984107851982,0.5832377375686468,0.7917453000245779,157.0
BraTS20_Training_009,1.7820067405700684,0.3200797438621521,0.21397532522678375,3.8627264499664307,1.7502915859222412,0.4459368706239651,0.7717385534631851,1.40622079372406,1.566253662109375,1.9743376970291138,2.206385374069214,2.991840211752333,0.021943366155028343,0.5764731126847448,0.8001205421095591,25359.0,2.0224788188934326,0.7265999913215637,0.19727067649364471,7.8718438148498535,1.8204642534255981,1.5166033624292816,2.9461281059382696,1.3292346000671387,1.5143356323242188,2.3615288734436035,2.959547519683838,2.5968824710143963,0.038133278489112854,0.6481451258946026,0.8506775933558193,25359.0,3.2095324993133545,0.922386646270752,-0.3284602165222168,7.863251209259033,3.1284420490264893,0.33461595880322076,-0.01163947462518422,2.0962865352630615,2.5222554206848145,3.8656961917877197,4.43911600112915,4.280791731082445,0.014268999919295311,0.5580589905390344,0.825794269159389,25359.0,4.153984546661377,1.280365228652954,-0.3249683082103729,13.808697700500488,3.972689390182495,0.3619065172864832,0.011448847467065981,2.6808340549468994,3.192460060119629,5.136638641357422,5.865705490112305,2.4762224721739585,0.02414076402783394,0.6182460891612365,0.8444349405302433,25359.0
BraTS20_Training_010,2.165820837020874,0.4014321267604828,0.6202569007873535,4.612071514129639,2.1822712421417236,-0.06732509953175708,-0.461851153608432,1.6163240671157837,1.8577948808670044,2.4916558265686035,2.6727590560913086,3.4502142247529264,0.01821081154048443,0.5939254652144109,0.8242498014834871,521.0,2.3669207096099854,0.6133801341056824,0.906393826007843,7.986193656921387,2.2632434368133545,2.171635309014477,7.931443563797748,1.7930481433868408,1.9945603609085083,2.511775493621826,3.1364636421203613,2.37085306280278,0.048858530819416046,0.6719211585472362,0.8375764464521863,521.0,2.7306270599365234,0.5729833245277405,-0.013028639368712902,7.726382255554199,2.6789402961730957,0.918971402530531,4.487155576209019,2.1181132793426514,2.406538486480713,2.983389139175415,3.4320504665374756,2.7415939693764813,0.04405377805233002,0.6604770019569652,0.7445987633777674,521.0,3.772618532180786,0.8073393106460571,-0.07254622876644135,15.094329833984375,3.6580677032470703,1.6946279994925575,13.671323711113573,2.9634017944335938,3.2721424102783203,4.18549919128418,4.764387607574463,1.5317063375805446,0.06787572056055069,0.7038572002433957,0.7274439512071746,521.0
